seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12749,711809,3067,away,0,3-5-2,1,0,39,221432,Robin Krausse,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,44,319415,Nahuel Nicolas Noll,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,2,271605,Simon Asta,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,11,268123,Roberto Massimo,Left Midfielder,3,0,0,-1,,,,1,176972,17,176972.0,4800.0,80',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,27,231183,Gian-Luca Itter,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,23,206580,Gideon Jung,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,18,289361,Marco Meyerhöfer,Center Right Defender,6,0,0,-1,,,,1,290884,14,290884.0,5340.0,89',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,36,362901,Philipp Muller,Center Right Midfielder,7,0,0,-1,,,,1,368318,5,368318.0,4800.0,80',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,37,191018,Julian Green,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,10,174506,Branimir Hrgota,Attacking Midfielder,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,9,306991,Noel Futkeu,Center Right Forward,10,0,0,-1,,,,1,338849,3,338849.0,5340.0,89',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,1,7,221551,Dennis Srbeny,Center Left Forward,11,0,0,-1,,,,1,307265,8,307265.0,4260.0,71',2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,1,220715,Nils-Jonathan Körber,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,19,386862,Matti Wagner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,20,379232,Leander Popp,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,5,368318,Reno Munz,Substitute,0,1,362901,36,362901.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,4,349227,Damian Michalski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,3,338849,Oualid Mhamdi,Substitute,0,1,306991,9,306991.0,5340.0,89',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,17,176972,Niko Gießelmann,Substitute,0,1,268123,11,268123.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,8,307265,Marlon Mustapha,Substitute,0,1,221551,7,221551.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,3070,home,1,3-4-1-2,1,0,14,290884,Jomaine Consbruch,Substitute,0,1,289361,18,289361.0,5340.0,89',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,1,345741,Johannes Schenk,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,27,366370,Jano Horst,Right Back,2,0,0,-1,,,,1,223554,22,223554.0,4380.0,73',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,2,173803,Mikkel Kirkeskov,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,32,324322,Luca Bazzoli,Center Right Midfielder,4,0,0,-1,,,,1,296783,14,296783.0,4380.0,73',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,24,333930,Niko Koulis,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,29,321225,Lukas Frenkert,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,8,226108,Joshua Mees,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,20,188338,Jorrit Hendrix,Center Left Midfielder,8,0,0,-1,,,,1,258962,30,258962.0,3840.0,64',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,23,278145,Malik Batmaz,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,9,260779,Joel Grodowski,Center Right Forward,10,0,0,-1,,,,1,337893,7,337893.0,3840.0,64',2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,1,18,118466,Marc Lorenz,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,7,337893,Daniel Kyerewaa,Substitute,0,1,260779,9,260779.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,5,366366,Yassine Bouchama,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,25,344804,Luca Bolay,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,22,223554,Dominik Schad,Substitute,0,1,366370,27,366370.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,14,296783,Charalampos Makridis,Substitute,0,1,324322,32,324322.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,16,278142,Torge Paetow,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,26,275802,Morten Behrens,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711810,9867,away,0,4-2-2-2,1,0,21,275796,Rico Preibinger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
